date,order_id,customer_id,book_id,book_title,category,price,quantity
2024-01-01,1001,C001,B001,Python入門,プログラミング,2800,1
2024-01-01,1001,C001,B002,データ分析実践ガイド,データサイエンス,3200,1
2024-01-02,1002,C002,B003,機械学習の基礎,AI,4500,1
2024-01-02,1003,C003,B001,Python入門,プログラミング,2800,2
2024-01-03,1004,C004,B004,Webデザイン入門,デザイン,3000,1
2024-01-03,1005,C005,B002,データ分析実践ガイド,データサイエンス,3200,1
2024-01-04,1006,C006,B005,統計学の基本,数学,2500,1
2024-01-04,1006,C006,B003,機械学習の基礎,AI,4500,1
2024-01-05,1007,C007,B006,SQLデータベース入門,データベース,3800,1
2024-01-05,1008,C008,B001,Python入門,プログラミング,2800,1
2024-01-06,1009,C009,B007,JavaScript完全ガイド,プログラミング,4000,1
2024-01-06,1010,C010,B005,統計学の基本,数学,2500,2
2024-01-07,1011,C011,B002,データ分析実践ガイド,データサイエンス,3200,1
2024-01-07,1011,C011,B006,SQLデータベース入門,データベース,3800,1
2024-01-08,1012,C012,B008,Rによるデータ可視化,データサイエンス,3500,1
2024-01-08,1013,C013,B003,機械学習の基礎,AI,4500,1
2024-01-09,1014,C014,B009,ディープラーニング入門,AI,5000,1
2024-01-09,1015,C015,B001,Python入門,プログラミング,2800,1
2024-01-10,1016,C016,B010,クラウドコンピューティング概論,インフラ,4200,1
